old_PUC,new_PUC,old_Category,new_Category,old_Product.Type,new_Product.Type,old_refined_product_type,new_refined_product_type,Body.Part..s..for.calculation.of.mean.area,Adult,Child,Hand_Variability,Body_Variability
P.PC.100.000,PC.2800.010.099.F,personal care,specialized bath products ,bath oil,bath oil ,,NOC,Body minus Head,0.925,0.85,low,low
P.PC.120.000,PC.2800.020.099.F,personal care,specialized bath products ,bath salts,bath salts ,,NOC,Body minus Head,0.925,0.85,low,low
P.PC.220.000,PC.2800.030.099.F,personal care,specialized bath products ,bubble bath,bubble bath ,,NOC,Body minus Head,0.925,0.85,low,low
P.IH.030.023,CP.0400.030.053.F,inside the home,dishwasher and dishes ,automatic dishwashing detergent,automatic dishwashing detergent,powder,powder,NA,NA,NA,low,low
P.IH.130.000,CP.1200.020.099.F,inside the home,laundry and fabric treatment ,dryer sheets,dryer sheets,,NOC,NA,NA,NA,low,low
P.IH.260.023,CP.1200.060.053.F,inside the home,laundry and fabric treatment ,laundry detergent,laundry detergent,powder,powder,NA,NA,NA,low,low
P.PC.050.000,PC.0800.030.001.F,personal care,child specific ,baby powder,baby powder,,child,Trunk,0.37,0.33,low,low
P.PC.140.000,PC.2300.010.099.F,personal care,make-up and related ,blush/bronzer,blush/bronzer,,NOC,Cheeks,0.0125,0.025,low,low
P.PC.180.000,PC.0700.010.099.F,personal care,body powder ,body powder,body powder,,NOC,Trunk,0.37,0.33,high,high
P.PC.310.029,PC.2000.070.050.F,personal care,hair styling and care ,dry shampoo,dry shampoo,spray,spray,Scalp,0.0375,0.075,low,medium
P.PC.390.000,PC.2300.050.099.F,personal care,make-up and related ,eye shadow,eye shadow,,NOC,Eyelids,0.00375,0.0075,low,low
P.PC.430.000,PC.2300.060.099.F,personal care,make-up and related ,face powder,face powder,,NOC,Face,0.0375,0.075,low,low
P.PC.490.000,PC.1800.010.099.F,personal care,glitter ,glitter,glitter,,NOC,Trunk,0.37,0.33,high,high
P.PC.590.023,PC.2000.150.053.F,personal care,hair styling and care ,hair styling,hair styling,powder,powder,Scalp,0.0375,0.075,low,low
P.PC.720.000,PC.2300.140.099.F,personal care,make-up and related ,makeup set,makeup set,,NOC,Face,0.0375,0.075,high,high
P.IH.080.000,CP.0300.020.099.F,inside the home,carpet and floor ,carpet deodorizer,carpet deodorizer,,NOC,NA,NA,NA,low,low
P.LY.100.000,LY.0600.040.099.F,landscape/yard,plants and garden ,potting soil,potting soil,,NOC,NA,NA,NA,high,low
P.PE.050.000,PE.0500.010.099.F,pesticides,rodenticide ,rodenticide,rodenticide ,,NOC,NA,NA,NA,low,low
P.LY.020.000,LY.0600.010.099.F,landscape/yard,plants and garden ,garden care,garden care,,NOC,NA,NA,NA,high,low
P.LY.030.000,LY.0600.020.099.F,landscape/yard,plants and garden ,garden fertilizer,garden fertilizer,,NOC,NA,NA,NA,low,low
P.LY.060.000,LY.0400.010.099.F,landscape/yard,lawn fertilizer ,lawn fertilizer,lawn fertilizer,,NOC,NA,NA,NA,low,low
P.LY.080.000,LY.0600.030.099.F,landscape/yard,plants and garden ,mulch,mulch,,NOC,NA,NA,NA,high,medium
P.AP.010.000,VE.0500.010.099.F,auto products,engine maintenance ,antifreeze,antifreeze ,,NOC,NA,NA,NA,low,low
P.PT.010.000,PT.0400.010.099.F,pet care,fish ,aquarium,aquarium ,,NOC,NA,NA,NA,low,low
P.AP.030.029,VE.0500.020.050.F,auto products,engine maintenance ,auto fluids and additives,auto fluids and additives ,spray,spray,NA,NA,NA,low,low
P.AP.030.999,VE.0500.020.099.F,auto products,engine maintenance ,auto fluids and additives,auto fluids and additives ,NOC,NOC,NA,NA,NA,low,low
P.AP.060.000,VE.0500.040.099.F,auto products,engine maintenance ,auto refrigerant,auto refrigerant ,,NOC,NA,NA,NA,low,low
