old_PUC,new_PUC,old_Category,new_general_category,old_Product Type,new_Product Type,old_Refined Product Type,new_Refined Product Type,CHAD ACTIVITY,MEAN METS from APEX
P.AC.010.029,AC.0500.010.050.F,arts and crafts,Arts and crafts/Office supplies ,arts and crafts adhesive,arts and crafts adhesive,spray,spray,Create art,2.5
P.AC.010.999,AC.0500.010.099.F,arts and crafts,Arts and crafts/Office supplies ,arts and crafts adhesive,arts and crafts adhesive,NOC,NOC,Create art,2.5
P.AC.020.000,AC.0500.020.099.F,arts and crafts,Arts and crafts/Office supplies ,arts and crafts cleaner,arts and crafts cleaner,,NOC,Create art,2.5
P.AC.030.029,AC.0500.030.050.F,arts and crafts,Arts and crafts/Office supplies ,arts and crafts finish,arts and crafts finish,spray,spray,Create art,2.5
P.AC.030.999,AC.0500.030.099.F,arts and crafts,Arts and crafts/Office supplies ,arts and crafts finish,arts and crafts finish,NOC,NOC,Create art,2.5
P.AC.040.000,AC.0500.040.099.F,arts and crafts,Arts and crafts/Office supplies ,arts and crafts paint,arts and crafts paint,,NOC,Create art,2.5
P.AC.050.029,AC.0100.010.050.F,arts and crafts,Arts and crafts/Office supplies ,body paint,body paint,spray,spray,"Personal hygiene, general",1.9
P.AC.050.999,AC.0100.010.099.F,arts and crafts,Arts and crafts/Office supplies ,body paint,body paint,NOC,NOC,"Personal hygiene, general",1.9
P.AC.060.000,AC.0200.010.099.F,arts and crafts,Arts and crafts/Office supplies ,bubble solution,bubble solution,,NOC,"Play, unspecified, general",4
P.AC.070.000,AC.0500.050.099.F,arts and crafts,Arts and crafts/Office supplies ,craft kit,craft kit,,NOC,Create art,2.5
P.AC.080.000,AC.0200.020.099.F,arts and crafts,Arts and crafts/Office supplies ,crayons,crayons,,NOC,Create art,2.5
P.AC.090.000,AC.0300.010.099.F,arts and crafts,Arts and crafts/Office supplies ,dye,fabric dye,,NOC,Create art,2.5
P.AC.100.029,AC.0300.020.050.F,arts and crafts,Arts and crafts/Office supplies ,fabric paints and sealers,fabric paints and sealers,spray,spray,Create art,2.5
P.AC.100.999,AC.0300.020.099.F,arts and crafts,Arts and crafts/Office supplies ,fabric paints and sealers,fabric paints and sealers,NOC,NOC,Create art,2.5
P.AC.110.000,AC.0200.030.099.F,arts and crafts,Arts and crafts/Office supplies ,finger paint,finger paint,,NOC,Create art,2.5
P.AC.120.000,AC.0500.060.050.F,arts and crafts,Arts and crafts/Office supplies ,flocking,flocking,spray,spray,Create art,2.5
P.AC.130.000,AC.0400.010.099.F,arts and crafts,Arts and crafts/Office supplies ,fogger,fogger,,NOC,Create art,2.5
P.AC.140.000,AC.0800.010.099.F,arts and crafts,Arts and crafts/Office supplies ,glaze,glaze,,NOC,Create art,2.5
P.AC.150.000,AC.0600.010.099.F,arts and crafts,Arts and crafts/Office supplies ,gun cleaner,gun cleaner,,NOC,Participate in hobbies,2.8
P.AC.160.000,AC.0700.020.099.F,arts and crafts,Arts and crafts/Office supplies ,pens and markers,pens and markers,,NOC,Create art,2.5
P.AC.170.000,AC.0200.040.099.F,arts and crafts,Arts and crafts/Office supplies ,play dough,play dough,,NOC,Create art,2.5
P.AP.010.000,VE.0500.010.099.F,auto products,Vehicle ,antifreeze,antifreeze ,,NOC,Repair / maintain car,3.5
P.AP.020.029,VE.0300.010.050.F,auto products,Vehicle ,auto air freshener,auto air freshener ,spray,spray,Repair / maintain car,3.5
P.AP.020.999,VE.0300.010.099.F,auto products,Vehicle ,auto air freshener,auto air freshener ,NOC,NOC,Repair / maintain car,3.5
P.AP.030.029,VE.0500.020.050.F,auto products,Vehicle ,auto fluids and additives,auto fluids and additives ,spray,spray,Repair / maintain car,3.5
P.AP.030.999,VE.0500.020.099.F,auto products,Vehicle ,auto fluids and additives,auto fluids and additives ,NOC,NOC,Repair / maintain car,3.5
P.AP.040.029,VE.0500.030.050.F,auto products,Vehicle ,auto lubricant,auto lubricant ,spray,spray,Repair / maintain car,3.5
P.AP.040.999,VE.0500.030.099.F,auto products,Vehicle ,auto lubricant,auto lubricant ,NOC,NOC,Repair / maintain car,3.5
P.AP.050.029,VE.0100.010.050.F,auto products,Vehicle ,auto paint,auto paint ,spray,spray,Repair / maintain car,3.5
P.AP.050.999,VE.0100.010.099.F,auto products,Vehicle ,auto paint,auto paint ,NOC,NOC,Repair / maintain car,3.5
P.AP.060.000,VE.0500.040.099.F,auto products,Vehicle ,auto refrigerant,auto refrigerant ,,NOC,Repair / maintain car,3.5
P.AP.070.000,VE.0200.020.099.F,auto products,Vehicle ,boat cleaner,boat cleaner - general ,,NOC,Repair / maintain car,3.5
P.AP.080.000,VE.0200.040.099.F,auto products,Vehicle ,boat engine fluids,boat engine fluids ,,NOC,Repair / maintain car,3.5
P.AP.090.000,VE.0400.010.099.F,auto products,Vehicle ,body cleaner,body cleaner ,,NOC,Repair / maintain car,3.5
P.AP.100.029,VE.0100.020.050.F,auto products,Vehicle ,body repair,body repair ,spray,spray,Repair / maintain car,3.5
P.AP.100.999,VE.0100.020.099.F,auto products,Vehicle ,body repair,body repair ,NOC,NOC,Repair / maintain car,3.5
P.AP.110.029,VE.0400.020.050.F,auto products,Vehicle ,body wax,body wax ,spray,spray,Repair / maintain car,3.5
P.AP.110.999,VE.0400.020.099.F,auto products,Vehicle ,body wax,body wax ,NOC,NOC,Repair / maintain car,3.5
P.AP.120.029,VE.0400.040.050.F,auto products,Vehicle ,degreaser,degreaser ,spray,spray,Repair / maintain car,3.5
P.AP.120.999,VE.0400.040.099.F,auto products,Vehicle ,degreaser,degreaser ,NOC,NOC,Repair / maintain car,3.5
P.AP.130.029,VE.0100.030.050.F,auto products,Vehicle ,detailing,detailing ,spray,spray,Repair / maintain car,3.5
P.AP.130.999,VE.0100.030.099.F,auto products,Vehicle ,detailing,detailing ,NOC,NOC,Repair / maintain car,3.5
P.AP.140.000,VE.0500.050.099.F,auto products,Vehicle ,motor oil,motor oil ,,NOC,Repair / maintain car,3.5
P.AP.150.029,VE.0100.040.050.F,auto products,Vehicle ,windows/windshield,windows/windshield ,spray,spray,Repair / maintain car,3.5
P.AP.150.999,VE.0100.040.099.F,auto products,Vehicle ,windows/windshield,windows/windshield ,NOC,NOC,Repair / maintain car,3.5
P.HM.010.029,HM.0100.010.050.F,home maintenance,Home maintenance ,adhesive remover,adhesive remover,spray,spray,"Home maintenance, low level",2.65
P.HM.010.999,HM.0100.010.099.F,home maintenance,Home maintenance ,adhesive remover,adhesive remover,NOC,NOC,"Home maintenance, low level",2.65
P.HM.020.000,HM.0400.010.099.F,home maintenance,Home maintenance ,caulk/sealant,caulk/sealant,,NOC,"Home maintenance, low level",2.65
P.HM.030.000,HM.0500.010.099.F,home maintenance,Home maintenance ,concrete,concrete,,NOC,"Home improvement/construction, moderate level",4.9
P.HM.040.029,HM.0600.010.050.F,home maintenance,Home maintenance ,corrosion protection,corrosion protection,spray,spray,"Home maintenance, low level",2.65
P.HM.040.999,HM.0600.010.099.F,home maintenance,Home maintenance ,corrosion protection,corrosion protection,NOC,NOC,"Home maintenance, low level",2.65
P.HM.050.000,HM.0700.010.099.F,home maintenance,Home maintenance ,degreaser,degreaser,,NOC,"Home maintenance, low level",2.65
P.HM.060.029,HM.0800.010.050.F,home maintenance,Home maintenance ,finish,finish,spray,spray,Paint home / room,4.2
