hem.id,old_PUC,new_source.id,old_sheds_product_categories_id,new_sheds_product_categories_id,old_general_category,new_general_category,old_product_type,new_product_type,old_refined_product_type,new_refined_product_type,code,old_description,new_description
24,P.AC.010.029,AC.0500.010.050.F,CMSID-0000033,CMSID-0000033,arts and crafts,Arts and crafts/Office supplies ,arts and crafts adhesive,arts and crafts adhesive,spray,spray,AIS,"spray adhesives for primarily craft purposes, including spray mounts and stencil placement sprays","spray adhesives for primarily craft purposes, including spray mounts and stencil placement sprays"
23,P.AC.010.999,AC.0500.010.099.F,CMSID-0000044,CMSID-0000044,arts and crafts,Arts and crafts/Office supplies ,arts and crafts adhesive,arts and crafts adhesive,NOC,NOC,LIS,"glue sticks, glitter glues, fabric glues, craft glue, and other adhesives used for primarily craft purposes","glue sticks, glitter glues, fabric glues, craft glue, and other adhesives used for primarily craft purposes"
25,P.AC.020.000,AC.0500.020.099.F,CMSID-0000055,CMSID-0000055,arts and crafts,Arts and crafts/Office supplies ,arts and crafts cleaner,arts and crafts cleaner,,NOC,LIS,"solvent-based products for cleaning paint, adhesives, etc. from hands or surfaces","solvent-based products for cleaning paint, adhesives, etc. from hands or surfaces"
27,P.AC.030.029,AC.0500.030.050.F,CMSID-0000066,CMSID-0000066,arts and crafts,Arts and crafts/Office supplies ,arts and crafts finish,arts and crafts finish,spray,spray,AIS,spray shellacs or polyurethane coatings for primarily craft purposes,spray shellacs or polyurethane coatings for primarily craft purposes
26,P.AC.030.999,AC.0500.030.099.F,CMSID-0000070,CMSID-0000070,arts and crafts,Arts and crafts/Office supplies ,arts and crafts finish,arts and crafts finish,NOC,NOC,LIS,shellacs or polyurethane coatings for primarily craft purposes,shellacs or polyurethane coatings for primarily craft purposes
28,P.AC.040.000,AC.0500.040.099.F,CMSID-0000081,CMSID-0000081,arts and crafts,Arts and crafts/Office supplies ,arts and crafts paint,arts and crafts paint,,NOC,LIS,paints and colorants for primarily craft purposes (including acrylic and enamel paints),paints and colorants for primarily craft purposes (including acrylic and enamel paints)
14,P.AC.050.029,AC.0100.010.050.F,CMSID-0000092,CMSID-0000092,arts and crafts,Arts and crafts/Office supplies ,body paint,body paint,spray,spray,LBS,"body paints, markers, glitters, play cosmetics, and halloween cosmetics (spray or aerosol formulation specified)","body paints, markers, glitters, play cosmetics, and halloween cosmetics (spray or aerosol formulation specified)"
13,P.AC.050.999,AC.0100.010.099.F,CMSID-0000102,CMSID-0000102,arts and crafts,Arts and crafts/Office supplies ,body paint,body paint,NOC,NOC,LBS,"body paints, markers, glitters, play cosmetics, and halloween cosmetics","body paints, markers, glitters, play cosmetics, and halloween cosmetics"
15,P.AC.060.000,AC.0200.010.099.F,CMSID-0000113,CMSID-0000113,arts and crafts,Arts and crafts/Office supplies ,bubble solution,bubble solution,,NOC,LIS,"liquid bubble solutions, including solutions for bubble machines","liquid bubble solutions, including solutions for bubble machines"
29,P.AC.070.000,AC.0500.050.099.F,CMSID-0000124,CMSID-0000124,arts and crafts,Arts and crafts/Office supplies ,craft kit,craft kit,,NOC,LIS,multi-component crafting kits where individual products are not designated,multi-component crafting kits where individual products are not designated
16,P.AC.080.000,AC.0200.020.099.F,CMSID-0000135,CMSID-0000135,arts and crafts,Arts and crafts/Office supplies ,crayons,crayons,,NOC,LIS,wax crayons for coloring or illustration,wax crayons for coloring or illustration
19,P.AC.090.000,AC.0300.010.099.F,CMSID-0000146,CMSID-0000146,arts and crafts,Arts and crafts/Office supplies ,dye,fabric dye,,NOC,LIS,products for dying fabrics,products for dying fabrics
21,P.AC.100.029,AC.0300.020.050.F,CMSID-0000150,CMSID-0000150,arts and crafts,Arts and crafts/Office supplies ,fabric paints and sealers,fabric paints and sealers,spray,spray,AIS,paints or sealers for treating fabrics (spray or aerosol formulation specified),paints or sealers for treating fabrics (spray or aerosol formulation specified)
20,P.AC.100.999,AC.0300.020.099.F,CMSID-0000161,CMSID-0000161,arts and crafts,Arts and crafts/Office supplies ,fabric paints and sealers,fabric paints and sealers,NOC,NOC,LIS,paints or sealers for treating fabrics,paints or sealers for treating fabrics
17,P.AC.110.000,AC.0200.030.099.F,CMSID-0000172,CMSID-0000172,arts and crafts,Arts and crafts/Office supplies ,finger paint,finger paint,,NOC,LSH,non-edible finger paints,non-edible finger paints
30,P.AC.120.000,AC.0500.060.050.F,CMSID-0000183,CMSID-0000183,arts and crafts,Arts and crafts/Office supplies ,flocking,flocking,spray,spray,AIS,flocking and artificial snow (spray or aerosol formulation specified),flocking and artificial snow (spray or aerosol formulation specified)
22,P.AC.130.000,AC.0400.010.099.F,CMSID-0000194,CMSID-0000194,arts and crafts,Arts and crafts/Office supplies ,fogger,fogger,,NOC,XXX,liquid solutions for fogger machines,liquid solutions for fogger machines
35,P.AC.140.000,AC.0800.010.099.F,CMSID-0000204,CMSID-0000204,arts and crafts,Arts and crafts/Office supplies ,glaze,glaze,,NOC,XXX,liquid products for glazing craft pottery,liquid roducts for glazing craft pottery
31,P.AC.150.000,AC.0600.010.099.F,CMSID-0000215,CMSID-0000215,arts and crafts,Arts and crafts/Office supplies ,gun cleaner,gun cleaner,,NOC,LIS,liquid solutions for cleaning interior or exterior of firearms,liquid solutions for cleaning interior or exterior of firearms
33,P.AC.160.000,AC.0700.020.099.F,CMSID-0000226,CMSID-0000226,arts and crafts,Arts and crafts/Office supplies ,pens and markers,pens and markers,,NOC,LIS,writing utensils containing liquid or gel ink,writing utensils containing liquid or gel ink
18,P.AC.170.000,AC.0200.040.099.F,CMSID-0000230,CMSID-0000230,arts and crafts,Arts and crafts/Office supplies ,play dough,play dough,,NOC,SOL,children's play modeling clays,children's play modeling clays
473,P.AP.010.000,VE.0500.010.099.F,CMSID-0000241,CMSID-0000241,auto products,Vehicle ,antifreeze,antifreeze ,,NOC,LAP,antifreeze and/or coolant solutions for motorized vehicles,antifreeze and/or coolant solutions for motorized vehicles
464,P.AP.020.029,VE.0300.010.050.F,CMSID-0000252,CMSID-0000252,auto products,Vehicle ,auto air freshener,auto air freshener ,spray,spray,AIS,air fresheners for car interiors (spray or aerosol formulation specified),air fresheners for car interiors (spray or aerosol formulation specified)
463,P.AP.020.999,VE.0300.010.099.F,CMSID-0000263,CMSID-0000263,auto products,Vehicle ,auto air freshener,auto air freshener ,NOC,NOC,AOA,"air fresheners for car interiors, including products for vents","air fresheners for car interiors, including products for vents"
475,P.AP.030.029,VE.0500.020.050.F,CMSID-0000274,CMSID-0000274,auto products,Vehicle ,auto fluids and additives,auto fluids and additives ,spray,spray,LAP,"power steering fluids, transmission fluids, brake fluids, fuel injector cleaners, gas treatments, or leak stoppers (spray or aerosol formulation specified)","power steering fluids, transmission fluids, brake fluids, fuel injector cleaners, gas treatments, or leak stoppers (spray or aerosol formulation specified)"
474,P.AP.030.999,VE.0500.020.099.F,CMSID-0000285,CMSID-0000285,auto products,Vehicle ,auto fluids and additives,auto fluids and additives ,NOC,NOC,LAP,"power steering fluids, transmission fluids, brake fluids, fuel injector cleaners, gas treatments, or leak stoppers","power steering fluids, transmission fluids, brake fluids, fuel injector cleaners, gas treatments, or leak stoppers"
477,P.AP.040.029,VE.0500.030.050.F,CMSID-0000296,CMSID-0000296,auto products,Vehicle ,auto lubricant,auto lubricant ,spray,spray,LOS,"engine lubricants and belt dressings, not including motor oils (spray or aerosol formulation specified)","engine lubricants and belt dressings, not including motor oils (spray or aerosol formulation specified)"
476,P.AP.040.999,VE.0500.030.099.F,CMSID-0000306,CMSID-0000306,auto products,Vehicle ,auto lubricant,auto lubricant ,NOC,NOC,LOS,"engine lubricants and belt dressings, not including motor oils","engine lubricants and belt dressings, not including motor oils"
452,P.AP.050.029,VE.0100.010.050.F,CMSID-0000310,CMSID-0000310,auto products,Vehicle ,auto paint,auto paint ,spray,spray,LOS,paints and primers for auto body or engine (spray or aerosol formulation specified),paints and primers for auto body or engine (spray or aerosol formulation specified)
451,P.AP.050.999,VE.0100.010.099.F,CMSID-0000321,CMSID-0000321,auto products,Vehicle ,auto paint,auto paint ,NOC,NOC,LOS,paints and primers for auto body or engine,paints and primers for auto body or engine
478,P.AP.060.000,VE.0500.040.099.F,CMSID-0000332,CMSID-0000332,auto products,Vehicle ,auto refrigerant,auto refrigerant ,,NOC,LAP,refrigerants and freon products for auto applications,refrigerants and freon products for auto applications
460,P.AP.070.000,VE.0200.020.099.F,CMSID-0000343,CMSID-0000343,auto products,Vehicle ,boat cleaner,boat cleaner - general ,,NOC,LOS,"cleaners, washes, and polishes for exterior marine applications","cleaners, washes, and polishes for exterior marine applications"
462,P.AP.080.000,VE.0200.040.099.F,CMSID-0000354,CMSID-0000354,auto products,Vehicle ,boat engine fluids,boat engine fluids ,,NOC,LAP,engine fluids for marine applications,engine fluids for marine applications
465,P.AP.090.000,VE.0400.010.099.F,CMSID-0000365,CMSID-0000365,auto products,Vehicle ,body cleaner,body cleaner ,,NOC,LOS,"cleaners, shampoos, and washes for auto body exterior (not including wax products)","cleaners, shampoos, and washes for auto body exterior (not including wax products)"
454,P.AP.100.029,VE.0100.020.050.F,CMSID-0000376,CMSID-0000376,auto products,Vehicle ,body repair,body repair ,spray,spray,SOS,"products for repairing auto body exteriors, including bondo-type products and scratch fillers (spray or aerosol formulation specified)","products for repairing auto body exteriors, including bondo-type products and scratch fillers (spray or aerosol formulation specified)"
453,P.AP.100.999,VE.0100.020.099.F,CMSID-0000380,CMSID-0000380,auto products,Vehicle ,body repair,body repair ,NOC,NOC,LOS,"products for repairing auto body exteriors, including bondo-type products and scratch fillers","products for repairing auto body exteriors, including bondo-type products and scratch fillers"
467,P.AP.110.029,VE.0400.020.050.F,CMSID-0000391,CMSID-0000391,auto products,Vehicle ,body wax,body wax ,spray,spray,SOS,"auto body waxes and coatings, including combo wash/wax products (spray or aerosol formulation specified)","auto body waxes and coatings, including combo wash/wax products (spray or aerosol formulation specified)"
466,P.AP.110.999,VE.0400.020.099.F,CMSID-0000401,CMSID-0000401,auto products,Vehicle ,body wax,body wax ,NOC,NOC,LOS,"auto body waxes and coatings, including combo wash/wax products","auto body waxes and coatings, including combo wash/wax products"
470,P.AP.120.029,VE.0400.040.050.F,CMSID-0000412,CMSID-0000412,auto products,Vehicle ,degreaser,degreaser ,spray,spray,SOS,"auto, engine and brake degreasers (spray or aerosol formulation specified)","auto, engine and brake degreasers (spray or aerosol formulation specified)"
469,P.AP.120.999,VE.0400.040.099.F,CMSID-0000423,CMSID-0000423,auto products,Vehicle ,degreaser,degreaser ,NOC,NOC,LOS,"auto, engine and brake degreasers","auto, engine and brake degreasers"
456,P.AP.130.029,VE.0100.030.050.F,CMSID-0000434,CMSID-0000434,auto products,Vehicle ,detailing,detailing ,spray,spray,SIS,"products for cleaning, polishing, or protecting car interior surfaces, apholstery, leather, carpeting, tires, or rims (spray or aerosol formulation specified","products for cleaning, polishing, or protecting car interior surfaces, apholstery, leather, carpeting, tires, or rims (spray or aerosol formulation specified"
455,P.AP.130.999,VE.0100.030.099.F,CMSID-0000445,CMSID-0000445,auto products,Vehicle ,detailing,detailing ,NOC,NOC,LOS,"products for cleaning, polishing, or protecting car interior surfaces, apholstery, leather, carpeting, tires, or rims","products for cleaning, polishing, or protecting car interior surfaces, apholstery, leather, carpeting, tires, or rims"
479,P.AP.140.000,VE.0500.050.099.F,CMSID-0000456,CMSID-0000456,auto products,Vehicle ,motor oil,motor oil ,,NOC,LAP,petroleum-based or synthetic engine lubricants,petroleum-based or synthetic engine lubricants
458,P.AP.150.029,VE.0100.040.050.F,CMSID-0000460,CMSID-0000460,auto products,Vehicle ,windows/windshield,windows/windshield ,spray,spray,SOS,products for washing or protecting windshields or windows (spray or aerosol formulation specified),products for washing or protecting windshields or windows (spray or aerosol formulation specified)
457,P.AP.150.999,VE.0100.040.099.F,CMSID-0000471,CMSID-0000471,auto products,Vehicle ,windows/windshield,windows/windshield ,NOC,NOC,LOS,products for washing or protecting windshields or windows,products for washing or protecting windshields or windows
144,P.HM.010.029,HM.0100.010.050.F,CMSID-0000926,CMSID-0000926,home maintenance,Home maintenance ,adhesive remover,adhesive remover,spray,spray,SIS,solvent products for removing adhesives from surfaces (spray or aerosol formulation specified),solvent products for removing adhesives from surfaces (spray or aerosol formulation specified)
143,P.HM.010.999,HM.0100.010.099.F,CMSID-0000930,CMSID-0000930,home maintenance,Home maintenance ,adhesive remover,adhesive remover,NOC,NOC,LIS,solvent products for removing adhesives from surfaces,solvent products for removing adhesives from surfaces
151,P.HM.020.000,HM.0400.010.099.F,CMSID-0000941,CMSID-0000941,home maintenance,Home maintenance ,caulk/sealant,caulk/sealant,,NOC,LIS,"caulks and sealers for household use, including silicone products","caulks and sealers for household use, including silicone products"
152,P.HM.030.000,HM.0500.010.099.F,CMSID-0000952,CMSID-0000952,home maintenance,Home maintenance ,concrete,concrete,,NOC,LOS,products for patching or cleaning concrete surfaces,products for patching or cleaning concrete surfaces
154,P.HM.040.029,HM.0600.010.050.F,CMSID-0000963,CMSID-0000963,home maintenance,Home maintenance ,corrosion protection,corrosion protection,spray,spray,AIS,products for protecting metal surfaces from corrosion or removing corrosion (spray or aerosol formulation specified),products for protecting metal surfaces from corrosion or removing corrosion (spray or aerosol formulation specified)
153,P.HM.040.999,HM.0600.010.099.F,CMSID-0000974,CMSID-0000974,home maintenance,Home maintenance ,corrosion protection,corrosion protection,NOC,NOC,LIS,products for protecting metal surfaces from corrosion or removing corrosion,products for protecting metal surfaces from corrosion or removing corrosion
155,P.HM.050.000,HM.0700.010.099.F,CMSID-0000985,CMSID-0000985,home maintenance,Home maintenance ,degreaser,degreaser,,NOC,LIS,products for degreasing indoor surfaces,products for degreasing indoor surfaces
