PUC,Category,Product,Refined ,description,Type,fHands,fBody,Sum,fRinseH,fWipeH,Sum,fRinseB,fWipeB,Sum,fRinseS,fWipeS,Sum,AllHands
P.AC.010.029,arts and crafts,arts and crafts adhesive,spray,"spray adhesives for primarily craft purposes, including spray mounts and stencil placement sprays",SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,
P.AC.010.999,arts and crafts,arts and crafts adhesive,NOC,"glue sticks, glitter glues, fabric glues, craft glue, and other adhesives used for primarily craft purposes",LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,
P.AC.020.000,arts and crafts,arts and crafts cleaner,,"solvent-based products for cleaning paint, adhesives, etc. from hands or surfaces",LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.97,0.97,
P.AC.030.029,arts and crafts,arts and crafts finish,spray,spray shellacs or polyurethane coatings for primarily craft purposes,SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,
P.AC.030.999,arts and crafts,arts and crafts finish,NOC,shellacs or polyurethane coatings for primarily craft purposes,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,
P.AC.040.000,arts and crafts,arts and crafts paint,,paints and colorants for primarily craft purposes (including acrylic and enamel paints),LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,
P.AC.050.029,arts and crafts,body paint,spray,"body paints, markers, glitters, play cosmetics, and halloween cosmetics (spray or aerosol formulation specified)",LBS,0.2,0.8,1,0.99,0,0.99,0,0,0,0,0,0,
P.AC.050.999,arts and crafts,body paint,NOC,"body paints, markers, glitters, play cosmetics, and halloween cosmetics",LBS,0.2,0.8,1,0.99,0,0.99,0,0,0,0,0,0,
P.AC.060.000,arts and crafts,bubble solution,,"liquid bubble solutions, including solutions for bubble machines",LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AC.070.000,arts and crafts,craft kit,,multi-component crafting kits where individual products are not designated,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AC.080.000,arts and crafts,crayons,,wax crayons for coloring or illustration,SOL,,,0,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AC.090.000,arts and crafts,dye,,products for dying fabrics,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AC.100.029,arts and crafts,fabric paints and sealers,spray,paints or sealers for treating fabrics (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AC.100.999,arts and crafts,fabric paints and sealers,NOC,paints or sealers for treating fabrics,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,
P.AC.110.000,arts and crafts,finger paint,,non-edible finger paints,LSH,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AC.120.000,arts and crafts,flocking,spray,flocking and artificial snow (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,1,1,
P.AC.130.000,arts and crafts,fogger,,liquid solutions for fogger machines,XXX,,,0,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AC.140.000,arts and crafts,glaze,,liquid products for glazing craft pottery,XXX,,,0,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AC.150.000,arts and crafts,gun cleaner,,liquid solutions for cleaning interior or exterior of firearms,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.5,0.5,
P.AC.160.000,arts and crafts,pens and markers,,writing utensils containing liquid or gel ink,LIS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AC.170.000,arts and crafts,play dough,,children's play modeling clays,SOL,,,0,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AP.010.000,auto products,antifreeze,,antifreeze and/or coolant solutions for motorized vehicles,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AP.020.029,auto products,auto air freshener,spray,air fresheners for car interiors (spray or aerosol formulation specified),SIS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AP.020.999,auto products,auto air freshener,NOC,"air fresheners for car interiors, including products for vents",SOL,,,0,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AP.030.029,auto products,auto fluids and additives,spray,"power steering fluids, transmission fluids, brake fluids, fuel injector cleaners, gas treatments, or leak stoppers (spray or aerosol formulation specified)",LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AP.030.999,auto products,auto fluids and additives,NOC,"power steering fluids, transmission fluids, brake fluids, fuel injector cleaners, gas treatments, or leak stoppers",LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AP.040.029,auto products,auto lubricant,spray,"engine lubricants and belt dressings, not including motor oils (spray or aerosol formulation specified)",LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AP.040.999,auto products,auto lubricant,NOC,"engine lubricants and belt dressings, not including motor oils",LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,
P.AP.050.029,auto products,auto paint,spray,paints and primers for auto body or engine (spray or aerosol formulation specified),LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,
P.AP.050.999,auto products,auto paint,NOC,paints and primers for auto body or engine,LOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,
P.AP.060.000,auto products,auto refrigerant,,refrigerants and freon products for auto applications,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AP.070.000,auto products,boat cleaner,,"cleaners, washes, and polishes for exterior marine applications",LOS,0.9,0.1,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,1
P.AP.080.000,auto products,boat engine fluids,,engine fluids for marine applications,LAP,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0,0,
P.AP.090.000,auto products,body cleaner,,"cleaners, shampoos, and washes for auto body exterior (not including wax products)",LOS,0.8,0.2,1,0.99,0,0.99,0.99,0,0.99,0.99,0,0.99,1
P.AP.100.029,auto products,body repair,spray,"products for repairing auto body exteriors, including bondo-type products and scratch fillers (spray or aerosol formulation specified)",SOS,0.95,0.05,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,
P.AP.100.999,auto products,body repair,NOC,"products for repairing auto body exteriors, including bondo-type products and scratch fillers",LOS,1,0,1,0.99,0,0.99,0.99,0,0.99,0,0.1,0.1,
