dtxsid,chem_num,cas,name,mw,log_kow,water_sol_mg_l,half_air_hr,half_sed_hr,vp_pa,kp,fabs,backGM,backGSD
DTXSID0016120,11777,13998-76-0,"(Methylimino)diethane-1,2-diyl distearate",652.11,7.44924,0.004690366,1.9,8100,6.65E-08,0.003376704,0.761877815,0,0
DTXSID0020151,11789,140-11-4,Benzyl acetate,150.18,2.15746,2098.375032,40.2,3240,24.25574238,0.013546105,0.999603912,0,0
DTXSID0020232,65947,58-08-2,Caffeine,194.19,-0.150871,19246.77289,13.2,3240,0.000277261,8.07E-05,0.971737917,0,0
DTXSID0020319,21673,1897-45-6,Chlorothalonil,265.91,3.1346,0.85395401,41500,38900,0.000171938,0.009771185,0.999717109,0,0
DTXSID0020440,6755,120-36-5,Dichlorprop,235.07,2.82696,368.7942709,22.5,8100,0.000061149,0.010109067,0.999709394,0,0
DTXSID0020442,111313,94-75-7,"2,4-Dichlorophenoxyacetic acid",221.04,2.75594,574.958196,38.7,8100,7.00E-05,0.011228745,0.99970513,0,0
DTXSID0020446,43387,330-54-1,Diuron,233.1,2.48235,62.8852518,23.6,8100,1.20E-05,0.006122314,0.99967675,0,0
DTXSID0020600,102004,75-21-8,Ethylene oxide,44.05,-0.258811,796538.53,3380,3240,114626.9912,0.000807034,0.96411667,0,0
DTXSID0020606,2038,103-23-1,Di(2-ethylhexyl) adipate,370.58,6.85077,1.446470091,10.1,1870,0.000154355,0.010333389,0.926806108,0,0
DTXSID0020654,2961,105-87-3,Geranyl acetate,196.29,4.13931,73.65350412,0.262,3240,5.793311142,0.034081872,0.999592811,0,0
DTXSID0020868,75192,75-09-2,Dichloromethane,84.93,1.43455,10329.69618,1810,8100,46841.35518,0.010603931,0.998998874,0,0
DTXSID0021125,78244,77-09-8,Phenolphthalein,318.33,3.14464,384.606306,3.05,8100,7.23E-07,0.004920079,0.999717096,0,0
DTXSID0021177,38275,298-14-6,Potassium bicarbonate,100.12,-0.521159,177312.52,494,3240,1.409004347,0.000197289,0.936430809,0,0
DTXSID0021206,71612,190913-75-8,"1,2-Propylene glycol",76.1,-0.809746,888444.67,21.4,1870,7.162065459,0.000221745,0.883629707,0,0
DTXSID0021337,13852,148-79-8,Thiabendazole,201.25,2.31081,72.7192725,3.95,3240,1.23E-06,0.007583364,0.999645376,0,0
DTXSID0021381,83313,71-55-6,"1,1,1-Trichloroethane",133.41,2.43114,1860.829362,27500,13000,9966.768577,0.027873412,0.999668734,0,0
DTXSID0021383,83394,79-01-6,Trichloroethylene,131.39,2.28747,1490.803496,109,8100,12585.26031,0.023209375,0.99964,0,0
DTXSID0021385,9847,133-07-3,Folpet,296.56,2.58936,2.184799038,16.3,13000,5.03E-05,0.002692853,0.99969045,0,0
DTXSID0021389,62863,52-68-6,Trichlorfon,257.44,0.726579,80090.09888,41.5,13000,0.002851219,0.000122794,0.995940522,0,0
DTXSID0021541,100429,74-87-3,Chloromethane,50.49,0.971257,2524.974606,5890,3240,274126.8325,0.007447183,0.99757651,0,0
DTXSID0021759,103878,78-83-1,2-Methyl-1-propanol,74.12,0.84321,111270.4264,37.3,3240,1401.071664,0.003650762,0.9968344,0,0
DTXSID0021832,114111,99-97-8,"N,N,4-Trimethylaniline",135.21,2.73886,682.5617136,1.27,8100,40.21563236,0.039716435,0.999703942,0,0
DTXSID0021888,3682,107-87-9,2-Pentanone,86.13,0.906774,39408.69537,55.1,3240,3846.337619,0.003358818,0.997229966,0,0
DTXSID0021917,4374,110-54-3,n-Hexane,86.18,3.9371,13.0631644,45.8,1870,17486.96464,0.170471717,0.999648838,0,0
DTXSID0021961,6445,119-61-9,Benzophenone,182.22,3.33004,104.1780895,72.2,3240,0.122956174,0.031906986,0.999713924,0,0
DTXSID0021969,7029,121-33-5,4-Hydroxy-3-methoxybenzaldehyde,152.15,1.14504,5579.88824,9.39,3240,0.00531447,0.001706441,0.998291223,0,0
DTXSID0022010,12597,143-28-2,(9Z)-Octadec-9-en-1-ol,268.49,7.61451,0.010718121,1.28,3240,0.000260087,0.019448584,0.686263924,0,0
DTXSID0022018,38271,298-04-4,Disulfoton,274.39,3.71109,24.7822737,1.93,8100,0.01855581,0.014258768,0.999686169,0,0
DTXSID0022191,31287,2455-24-5,Tetrahydrofurfuryl methacrylate,170.21,0.795746,22702.43959,5.13,3240,10.49261875,0.000595629,0.996499127,0,0
DTXSID0022432,26897,218-01-9,Chrysene,228.3,5.76698,0.004856078,5.13,13000,2.34E-06,0.026677112,0.993301371,0,0
DTXSID0023123,105815,81646-13-1,Behentrimonium methosulfate,369.72,3.402,0.006165155,6.02,8100,0.000207472,0.003528775,0.999711103,0,0
DTXSID0023826,53282,4098-71-9,Isophorone diisocyanate,222.29,2.41124,120.3740362,29.1,8100,0.157899039,0.006432481,0.999665331,0,0
DTXSID0024050,102019,75-37-6,"1,1-Difluoroethane",66.05,0.655122,2566.709605,7550,3240,440598.5016,0.002840218,0.995262793,0,0
DTXSID0024343,87789,66841-25-6,Tralomethrin,665.02,5.11773,0.102578005,14.6,38900,1.51E-08,0.000879398,0.998294225,0,0
DTXSID0024395,3934,108-24-7,Acetic anhydride,102.09,0.228513,128786.535,3040,3240,378.9982245,0.000624347,0.98786038,0,0
DTXSID0024553,7535,123-77-3,Azodicarbonamide,116.08,-1.43089,25943.64784,128,3240,8.18E-08,8.78E-05,0.645309816,0,0
